"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"Amanda-ARIMA",1,1529.76404092072,1954.17647058824,0.617647058823529,0.882352941176471,34
"Amanda-ARIMA",2,3493.87847826087,4407.70588235294,0.617647058823529,0.852941176470588,34
"Amanda-ARIMA",3,4862.76893861893,6102.23529411765,0.676470588235294,0.852941176470588,34
"Amanda-XGBoost",1,1607.93255754476,2408.79411764706,0.323529411764706,0.852941176470588,34
"Amanda-XGBoost",2,2222.71090792839,3294.23529411765,0.352941176470588,0.852941176470588,34
"Amanda-XGBoost",3,2634.77166240409,4178.97058823529,0.382352941176471,0.911764705882353,34
"DKCDC-XGBoost",1,1742.1834914361,1888.06060606061,0.363636363636364,0.545454545454545,33
"DKCDC-XGBoost",2,2885.35434782609,3118.87878787879,0.242424242424242,0.545454545454545,33
"DKCDC-XGBoost",3,3370.58202898551,3674.15151515152,0.212121212121212,0.454545454545455,33
"Gihani-XGBoost",1,1949.93438858696,1991.625,0.03125,0.28125,32
"Gihani-XGBoost",2,3893.46986413043,3952.375,0.03125,0.21875,32
"Gihani-XGBoost",3,5259.23680706522,5331.4375,0.0625,0.15625,32
"Huan-ARIMA",1,1383.19836317136,1659.14705882353,0.823529411764706,0.882352941176471,34
"Huan-ARIMA",2,3086.16774936061,3830.08823529412,0.823529411764706,0.852941176470588,34
"Huan-ARIMA",3,4159.29152173913,5276.67647058824,0.823529411764706,0.911764705882353,34
"Huan-ARIMAWW",1,1899.63560102302,2550.67647058824,0.558823529411765,0.852941176470588,34
"Huan-ARIMAWW",2,3746.8502173913,4878.35294117647,0.529411764705882,0.794117647058823,34
"Huan-ARIMAWW",3,5066.94507672634,6478.52941176471,0.382352941176471,0.764705882352941,34
"Huan-XGBoost",1,1254.22632992327,1789.17647058824,0.382352941176471,0.970588235294118,34
"Huan-XGBoost",2,2107.40042199488,3417.73529411765,0.323529411764706,0.911764705882353,34
"Huan-XGBoost",3,2690.59259590793,4061.94117647059,0.264705882352941,0.970588235294118,34
"Huan-XGBoostWW",1,1123.97012787724,1403.47058823529,0.529411764705882,0.941176470588235,34
"Huan-XGBoostWW",2,1790.48203324808,2864.20588235294,0.441176470588235,0.970588235294118,34
"Huan-XGBoostWW",3,2213.70016624041,3469.41176470588,0.264705882352941,0.970588235294118,34
"OMI-ARIMA",1,1529.76404092072,1954.17647058824,0.617647058823529,0.882352941176471,34
"OMI-ARIMA",2,3493.87847826087,4407.70588235294,0.617647058823529,0.852941176470588,34
"OMI-ARIMA",3,4862.76893861893,6102.23529411765,0.676470588235294,0.852941176470588,34
"Yiwen-ARIMA",1,1529.76580397687,1954.13041498398,0.617647058823529,0.882352941176471,34
"Yiwen-ARIMA",2,3493.87984088204,4407.75303680017,0.617647058823529,0.852941176470588,34
"Yiwen-ARIMA",3,4862.78563857705,6102.23245448799,0.676470588235294,0.852941176470588,34
"cc-XGBHybrid",1,1305.04520460358,1980.23529411765,0.647058823529412,0.941176470588235,34
"cc-XGBHybrid",2,2249.69673913044,3374.02941176471,0.382352941176471,0.882352941176471,34
"cc-XGBHybrid",3,2607.52905370844,4024.29411764706,0.441176470588235,0.882352941176471,34
"sukhyun-XGBoost",1,1529.76404092072,1954.17647058824,0.617647058823529,0.882352941176471,34
"sukhyun-XGBoost",2,3493.87847826087,4407.70588235294,0.617647058823529,0.852941176470588,34
"sukhyun-XGBoost",3,4862.76893861893,6102.23529411765,0.676470588235294,0.852941176470588,34
